Country,Localite,Category,Value,Date
Sierra Leone,Kailahun,Deaths,5,05/26/14
Sierra Leone,National,Confirmed cases,7,05/27/14
Sierra Leone,National,Deaths,5,05/27/14
Sierra Leone,National,Suspected cases,22,05/27/14
Guinea,Boffa,Cases,4,05/28/14
Guinea,Boffa,Deaths,0,05/28/14
Guinea,Conakry,Cases,53,05/28/14
Guinea,Conakry,Deaths,27,05/28/14
Guinea,Dabola ,Cases,4,05/28/14
Guinea,Dabola ,Deaths,4,05/28/14
Guinea,Dinguiraye ,Cases,1,05/28/14
Guinea,Dinguiraye ,Deaths,1,05/28/14
Guinea,Gueckedou,Cases,179,05/28/14
Guinea,Gueckedou,Deaths,133,05/28/14
Guinea,Kissidougou,Cases,7,05/28/14
Guinea,Kissidougou,Deaths,5,05/28/14
Guinea,Macenta,Cases,40,05/28/14
Guinea,Macenta,Deaths,23,05/28/14
Guinea,National,Cases,291,05/28/14
Guinea,National,Confirmed cases,172,05/28/14
Guinea,National,Deaths,193,05/28/14
Sierra Leone,Bo,Cases,1,05/29/14
Sierra Leone,Bo,Deaths,0,05/29/14
Sierra Leone,Kailahun,Cases,37,05/29/14
Sierra Leone,Kailahun,Deaths,6,05/29/14
Sierra Leone,Kenema,Cases,1,05/29/14
Sierra Leone,Kenema,Deaths,0,05/29/14
Sierra Leone,Koinadugu,Cases,1,05/29/14
Sierra Leone,Koinadugu,Deaths,0,05/29/14
Sierra Leone,Moyamba,Cases,1,05/29/14
Sierra Leone,Moyamba,Deaths,0,05/29/14
Sierra Leone,National,Cases,50,05/29/14
Sierra Leone,National,Confirmed cases,14,05/29/14
Sierra Leone,National,Deaths,6,05/29/14
Guinea,Boffa,Cases,4,06/01/14
Guinea,Boffa,Deaths,2,06/01/14
Guinea,Conakry,Cases,56,06/01/14
Guinea,Conakry,Deaths,27,06/01/14
Guinea,Dabola ,Cases,4,06/01/14
Guinea,Dabola ,Deaths,4,06/01/14
Guinea,Dinguiraye ,Cases,1,06/01/14
Guinea,Dinguiraye ,Deaths,1,06/01/14
Guinea,Gueckedou,Cases,190,06/01/14
Guinea,Gueckedou,Deaths,140,06/01/14
Guinea,Kissidougou,Cases,7,06/01/14
Guinea,Kissidougou,Deaths,5,06/01/14
Guinea,Macenta,Cases,44,06/01/14
Guinea,Macenta,Deaths,24,06/01/14
